Ticker,Valoración de medias móviles,Volumen,Última,Media móvil simple (20),Media móvil simple (50),Media móvil simple (200),Banda superior de Bollinger (20),Banda inferior de Bollinger (20),"Nivel MACD (12, 26)","Señal MACD (12, 26)",Índice de fuerza relativa (14)
BURL,Vender,165,4251.6499,4519.72796,4379.796384,3341.0646005,4892.12609805,4147.32982195,0.46901206,59.69381977,44.34303821
CCL1/N,Vender,7904,318,321.7440015,338.0628,,353.70555507,289.78244793,-9.62173038,-9.37146044,47.78101729
VOLAR/A,Fuerte Compra,1738748,19,17.07350005,16.87940006,14.95724999,18.85120955,15.29579055,0.56966405,0.39580209,75.5110558
TREE,Fuerte Compra,100,7341.0601,6926.38748,,,7549.10945199,6303.66550801,216.20848289,194.47624199,62.42848961
UAL,Fuerte Compra,26583,784.77002,767.8929985,772.637799,890.19934965,807.43744848,728.34854852,-3.78504725,-4.26398093,54.14938525
GE,Fuerte Compra,56517,162.02,144.156001,140.7784,167.20855005,160.33225316,127.97974884,4.91027731,2.84522653,70.39412284
WDC,Fuerte Compra,13764,917.90002,829.9844975,821.9357996,956.11195145,906.60937347,753.35962153,13.15345171,0.8371477,68.26079396
WYNN,Neutral,8364,1602,1570.0225,1707.459602,1890.7594495,1652.91108567,1487.13391433,-41.9466016,-50.6060485,50.33305368
X,Fuerte Compra,13773,197.13,177.2109975,171.7643992,171.57519985,199.21199545,155.20999955,6.70682819,4.7562271,66.71918273
F,Fuerte Compra,142,172.98,156.4740015,152.8094016,143.45565035,171.42122163,141.52678137,4.51272551,3.0549241,76.29843838
AGUA,Comprar,335100,17.959999,18.54699985,17.1462,15.00382725,19.67865572,17.41534398,0.22760362,0.46200489,50.35633183
TLEVISA/CPO,Fuerte Compra,4174909,30.65,28.99250005,28.42359996,29.90275004,31.84135864,26.14364146,0.65640846,0.59021764,61.27144636
BBBY,Fuerte Compra,590,535,453.732999,342.5192002,242.6651503,601.00125363,306.46474437,60.33684135,57.97681638,77.86568674
GM,Fuerte Compra,949,781,683.345999,664.195398,602.5393001,762.70322434,603.98877366,26.42131035,15.92415597,73.48666688
