Ticker,Valoración de medias móviles,Última,Media móvil simple (20),Media móvil simple (50),Media móvil simple (200),Banda superior de Bollinger (20),Banda inferior de Bollinger (20),"Nivel MACD (12, 26)","Señal MACD (12, 26)"
UBER,Fuerte Venta,660,697.8005005,713.7640004,667.09949975,762.09884765,633.50215335,-14.63403456,-8.88709446
DBX,Fuerte Venta,445,477.942001,490.9162006,,545.98097471,409.90302729,-14.75924026,-9.89130145
GLNG/N,Fuerte Compra,238.5,191.4740005,,,255.42126784,127.52673316,-14.99394836,-27.65897019
SPCE,Fuerte Venta,392.78,470.0875005,427.0148006,,592.48804101,347.68695999,-16.35286265,-3.12246033
OXY1,Fuerte Venta,311,351.4045,382.5414002,,393.69550243,309.11349757,-17.91423712,-14.02380003
WORK,Vender,644.64001,652.128997,,,697.56546372,606.69253028,-20.37653109,-22.15526601
NVS/N,Vender,1906,1904.396,1960.536998,1816.86245,1991.80864792,1816.98335208,-21.35343378,-26.89765154
LYFT,Fuerte Venta,622,667.66,721.8718002,,730.23034819,605.08965181,-21.55958769,-16.86996399
VLO,Fuerte Venta,1212,1224.2705,1286.663198,1461.8950023,1313.32397393,1135.21702607,-21.81876708,-27.9206853
CPE,Fuerte Venta,169,247.702498,281.6089992,,321.03445996,174.37053604,-21.82909633,-11.9206838
CCL/N,Fuerte Venta,266.06,284.4080005,305.1304006,,338.43494843,230.38105257,-24.35166972,-29.42343849
CSCO,Fuerte Venta,926.14001,1022.6535025,1030.8165988,951.28809975,1129.28158553,916.02541947,-25.53781994,-9.79182157
FSLY,Vender,1815,1937.9885,,,2477.85619336,1398.12080664,-26.56736992,17.53684628
BA,Fuerte Venta,3761.6599,3811.70551,3995.70761,4830.7381035,4088.23094756,3535.18007244,-29.25985698,-29.93775814
STZ,Fuerte Compra,3975,3942.649995,3977.016398,3717.8817975,4113.38089311,3771.91909689,-29.80070211,-30.82410286
MRNA,Vender,1504.87,1640.9465,1570.665394,,1839.99752782,1441.89547218,-30.27203666,-0.05842817
TDOC,Fuerte Compra,4813.5098,4702.78697,4472.379188,,5460.21305071,3945.36088929,-34.18271951,-20.58903988
MU,Fuerte Venta,974.84998,1087.799005,1112.947606,1049.5907993,1204.58515189,971.01285811,-35.00585142,-19.82484369
FTNT,Fuerte Venta,2852,2963.369505,3036.08201,,3161.78449409,2764.95451591,-41.70782218,-31.19596191
NFLX,Vender,10762.28,10881.892,10819.02401,8455.114154,11443.62103093,10320.16296907,-43.94674605,-1.74996386
NKLA,Comprar,945,827.1169995,,,1073.44202405,580.79197495,-46.80659324,-98.30892223
INO,Fuerte Venta,320.25,414.6704975,464.2633986,,562.87669305,266.46430195,-47.87078513,-33.72205849
GILD,Fuerte Venta,1454,1566.187495,1652.667596,1530.47225,1679.14165108,1453.23333892,-49.72649824,-44.69891968
INTC,Fuerte Venta,1073.55,1098.807,1243.645,1236.2375485,1228.08557005,969.52842995,-50.98558856,-57.66143454
DDOG,Vender,1872.5699,1922.34649,,,2196.14979427,1648.54318573,-50.98913539,-38.16900663
ILMN,Vender,7820,8328.968,8081.44241,6546.825155,9062.95534518,7594.98065482,-51.90078987,71.91245942
WDC,Fuerte Venta,766,892.2055,947.1951998,966.7289513,1070.47940493,713.93159507,-54.30235249,-40.44031683
BYND,Fuerte Venta,2776,2845.857995,3053.131994,2284.1225965,3091.2169799,2600.4990101,-63.35431456,-56.76631178
ROKU,Fuerte Venta,3256,3399.5835,,,3653.70507355,3145.46192645,-67.46165663,
BNTX/N,Fuerte Venta,1465,1731.7175,,,2073.25191302,1390.18308698,-74.45967469,
